Date,week_day,hour,state,road_id,km,city,cause_of_accident,type_of_accident,victims_condition,weather_timestamp,road_direction,wheather_condition,road_type,road_delineation,people,deaths,slightly_injured,severely_injured,uninjured,ignored,total_injured,vehicles_involved,latitude,longitude,regional,police_station
08/25/2023,friday,10:56:00 PM,DF,20,"7,5",BRASILIA,Rain,Fall of vehicle occupant,With dead victims,Night,Increasing,Rainy,Double,Not Reported,2,1,0,0,1,0,0,2,-15.66221,-47.79987,SPRF-DF,DEL02-DF
08/26/2023,saturday,12:15:00 AM,PR,116,103,SAO JOSE DOS PINHAIS,Driver's lack of reaction,Run-off-road,With injured victims,Night,Increasing,Drizzle,Double,Straight,2,0,1,1,0,0,2,2,-25.55945,-49.151,SPRF-PR,DEL01-PR
08/25/2023,friday,9:15:00 PM,MT,70,49,BARRA DO GARCAS,Driver's lack of reaction,Run-off-road,With injured victims,Night,Decreasing,Drizzle,Simple,Not Reported,1,0,1,0,0,0,1,1,-15.73593,-52.62133,SPRF-MT,DEL07-MT
08/26/2023,saturday,12:30:00 AM,RJ,101,317,SAO GONCALO,Acessing the road without seeing the presence of other vehicles,Collision with object,With injured victims,Night,Decreasing,Drizzle,Multiple,Straight,3,0,1,0,2,0,1,2,-22.83708,-43.09492,SPRF-RJ,DEL02-RJ
08/26/2023,saturday,1:30:00 AM,SP,116,222,GUARULHOS,Unexpected pedestrian entry,Pedestrian collision,With injured victims,Night,Increasing,Rainy,Multiple,Straight,4,0,2,0,1,1,2,2,-23.47093,-46.51631,SPRF-SP,DEL01-SP
08/26/2023,saturday,12:30:00 AM,PE,101,"61,5",RECIFE,Driver's lack of reaction,Side collision (same direction),With dead victims,Night,Decreasing,Clear sky,Multiple,Straight,4,1,0,1,2,0,1,3,-7.994466,-34.93807,SPRF-PE,DEL01-PE
08/26/2023,saturday,1:00:00 AM,GO,364,386,SANTA RITA DO ARAGUAIA,Driver's lack of reaction,Rollover,With injured victims,Night,Decreasing,Clear sky,Double,Straight,3,0,1,0,2,0,1,2,-17.32904,-53.20372,SPRF-GO,DEL05-GO
08/25/2023,friday,11:50:00 PM,PR,476,234,LAPA,Alcohol ingestion by the driver,Head-on collision,With dead victims,Night,Increasing,Cloudy,Simple,Straight,3,1,1,0,1,0,1,2,-25.88177,-50.01786,SPRF-PR,DEL02-PR
08/26/2023,saturday,1:50:00 AM,PE,232,"9,9",JABOATAO DOS GUARARAPES,Driver's lack of reaction,Rear-end collision,With injured victims,Night,Increasing,Clear sky,Multiple,Not Reported,3,0,1,0,2,0,1,2,-8.077644,-34.97864,SPRF-PE,DEL01-PE
08/26/2023,saturday,2:20:00 AM,CE,116,14,FORTALEZA,Driver's lack of reaction,Rear-end collision,With injured victims,Night,Increasing,Clear sky,Multiple,Straight,4,0,0,2,0,2,2,2,-3.869734,-38.49827,SPRF-CE,DEL01-CE
